CODIGO,DESCRIPCION,MARCA,HIPERFAMILIA,FAMILIA,SUBFAMILIA,COSTO_PROMEDIO,PRECIO_IVA,SOCIO_IVA,PEM_DISP,PEM_TRANS,PEM_BOD,SEM_DISP,SEM_BOD,CEM_DISP,CEM_BOD,MEM_DISP,MEM_BOD,IEM_DISP,IEM_TRANS,TEM_DISP,TEM_TRANS,RCE_DISP,CD_DISP,CD_TRANS
10030,"BROCHA CONDOR PROFESIONAL 1/2 X 1"" CONDOR(1001619791) (E12)",CONDOR-WESSER ,TERMINACIONES,PINTURA,BROCHAS Y RODILLOS,783,2560,2560,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,0
10031,"BROCHA CONDOR PROFESIONAL 1/2 X 1 1/2"" CONDOR (1001619792) (E12)",CONDOR-WESSER ,TERMINACIONES,PINTURA,BROCHAS Y RODILLOS,1004,3110,3110,0,0,0,11,11,1,1,0,0,0,0,0,0,0,0,0
10032,"BROCHA CONDOR PROFESIONAL 1/2 X 2"" CONDOR (1001619793)(E12)",CONDOR-WESSER ,TERMINACIONES,PINTURA,BROCHAS Y RODILLOS,1167,3210,3210,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0
10033,"BROCHA CONDOR PROFESIONAL 1/2 X 2 1/2"" CONDOR (100169794) (E12)",CONDOR-WESSER ,TERMINACIONES,PINTURA,BROCHAS Y RODILLOS,1860,5640,5640,0,0,0,35,35,1,1,0,0,0,0,0,0,0,0,0
10034,"BROCHA CONDOR PROFESIONAL 1/2 X 3"" CONDOR (1001619795) (E12)",CONDOR-WESSER ,TERMINACIONES,PINTURA,BROCHAS Y RODILLOS,2037,4860,4860,0,0,0,50,50,1,1,0,0,0,0,0,0,0,0,0
10035,"BROCHA CONDOR PROFESIONAL 1/2 X 4"" CONDOR (1001619796) (E12)",CONDOR-WESSER ,TERMINACIONES,PINTURA,BROCHAS Y RODILLOS,2622,8650,8650,0,0,0,12,12,1,1,0,0,0,0,0,0,0,0,0
10153,PITILLA RAFIA BOBINA  800 GRS  KRAUSSER (E-50)  (213-200126),KRAUSSER,FERRETERIA,CADENAS Y ACCESORIOS,CORDELES,3666,12240,12240,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0
10157,PITILLA RAFIA OVILLO 100 GRS KRAUSER  (E-50) (213-200103),KRAUSSER,FERRETERIA,CADENAS Y ACCESORIOS,CORDELES,624,2310,2310,0,20,0,8,8,0,0,0,0,0,0,0,0,0,0,0
10187,TUBO PVC SANITARIO 40 MM X TIRA 6 MTS  (41500) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC SANITARIO,2895,5076,5076,211,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0
10188,TUBO PVC SANITARIO 50 MM X TIRA 6 MTS (41501)  (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC SANITARIO,3761,6345,6345,206,0,209,0,0,0,0,1,1,0,0,0,0,0,0,0
10189,TUBO PVC SANITARIO 75 MM X TIRA 6 MTS  (41502) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC SANITARIO,6001,10377,10377,222,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0
10190,TUBO PVC SANITARIO 110 MM X TIRA 6 MTS  (41503) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC SANITARIO,9313,13275,13275,995,0,995,0,0,0,0,0,0,0,0,0,0,0,3,0
10194,TUBO CONDUIT CIV 16MM 6MT C/CAMPANA  (E20),Hoffens,ELECTRICIDAD,CANALIZACION,CANALETAS Y PVC ELECTRICO,896,2242,2242,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
10195,TUBO CONDUIT CIV 20MM 6MT C/CAMPANA NOVOPLAST (01.03.020)(40055)(E1),Hoffens,ELECTRICIDAD,CANALIZACION,CANALETAS Y PVC ELECTRICO,1317,3048,3048,79,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
10196,TUBO CONDUIT CIII 25MM 6MT NOVOPLAST (01.03.030)(50572)(E1),Hoffens,ELECTRICIDAD,CANALIZACION,CANALETAS Y PVC ELECTRICO,1640,4167,4167,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
10197,TUBO CONDUIT CIII 32MM 6MT NOVOPLAST (01.03.040)(50573)(E1),Hoffens,ELECTRICIDAD,CANALIZACION,CANALETAS Y PVC ELECTRICO,2418,7059,7059,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
10198,TUBO CONDUIT CII 40MM 6MT NOVOPLAST (01.03.050)(41322)(E1),Hoffens,ELECTRICIDAD,CANALIZACION,CANALETAS Y PVC ELECTRICO,2964,7487,7487,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
10200,TUBO CONDUIT CII 50MM 6MT NOVOPLAST (01.03.065)(E1),Hoffens,ELECTRICIDAD,CANALIZACION,CANALETAS Y PVC ELECTRICO,3207,9013,9013,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
10209,TUBO PVC HIDRAULICO C/16 (20 MM) X TIRA 6 MTS (45080) (E20),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,1360,2338,2338,108,0,108,0,0,4,4,0,0,0,0,0,0,0,0,0
10210,TUBO PVC HIDRAULICO C/12.5 (25 MM) X TIRA 6 MTS (45060) (E20),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,1755,3241,3241,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
10211,TUBO PVC HIDRAULICO C/10 (32 MM) X TIRA 6 MTS (45040) (E10),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,2576,3938,3938,18,50,18,0,0,0,0,0,0,0,0,0,0,0,0,0
10212,TUBO PVC HIDRAULICO C/10 (40 MM) X TIRA 6 MTS  (45041) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,4141,5768,5768,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10213,TUBO PVC HIDRAULICO C/10 (50 MM) X TIRA 6 MTS (45042) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,5736,9069,9069,6,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10215,TUBO PVC HIDRAULICA C/10 (75 MM) X TIRA 6 MTS (45044) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,12721,31177,31177,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10216,TUBO PVC HIDRAULICO C/10 (90 MM) X TIRA 6 MTS (45045) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,15753,29524,29524,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
10217,TUBO PVC HIDRAULICO C/10 (110 MM) X TIRA 6 MTS (45046) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,19094,35741,35741,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
10219,TUBO PVC HIDRAULICO C/10 (125 MM) X TIRA 6 MTS  (45047) (E1),Hoffens,GASFITERIA,"CAÑERIAS, TUBERIAS Y FITTING",PVC HIDRAULICO,24346,58399,58399,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
10224,"MANGUERA CHORIZO LIQUIFLEX 2"" PETROF R-50  (350634)",Petroflex,FERRETERIA,AGRICOLA Y JARDINERIA,RIEGO,3041,8947,8947,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10225,"MANGUERA CHORIZO LIQUIFLEX 3"" PETROF  R-25 (350640)",Petroflex,FERRETERIA,AGRICOLA Y JARDINERIA,RIEGO,6702,19397,19397,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
10227,"MANGUERA CHORIZO LIQUIFLEX 4"" PETROF R-25  (350607)",Petroflex,FERRETERIA,AGRICOLA Y JARDINERIA,RIEGO,11071,31539,31539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10334,ANGULO LAMINADO 50 X 6MM (TIRA 6MT) 26.82 kg,COX,ACERO,PERFIL NEGRO,PERFILES ABIERTOS,24355,61504,61504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10375,CABALLETE GALVANIZADO 0.35 ESP X 30 CM X 2 MT (1500032) (E1),VILLALBA,ACERO,ZINC,ZINC ACANALADO,1790,3625,3625,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
10434,AGOREX 60 ADHESIVO CONTACTO 1/32  (120 CC) GL HENKEL (284614) (E48),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,2117,4800,4800,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10435,AGOREX 60 ADHESIVO CONTACTO 1/16 GL HENKEL (284615) (E24),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,3855,6579,6579,0,0,0,26,26,0,0,3,3,0,0,0,0,0,0,0
10436,AGOREX 60 ADHESIVO CONTACTO 1/4 GL HENKEL (284616) (E12),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,9847,16039,16039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10437,AGOREX 60 ADHESIVO CONTACTO 1 GL HENKEL (284617) (E6),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,30748,62660,62660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10438,AGOREX  ADHESIVO VINILICO  1 GL HENKEL (2300254) (E4),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,23760,53990,53990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10441,AGOREX SELLADOR ACRILICO PL600  (BLANCO) 300 ML HENKEL (1002994121) (E12),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,3138,8140,8140,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
